---------------------------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge | El. Name     |        Ionization Energy (eV)         |
     22 | Ti V          |         +4 | Titanium     |            99.299                     |
     22 | Ti VI         |         +5 | Titanium     |          [119.530]                    |
     22 | Ti VII        |         +6 | Titanium     |          [140.68]                     |
     22 | Ti VIII       |         +7 | Titanium     |          [170.47]                     |
     22 | Ti IX         |         +8 | Titanium     |          [192.05]                     |
     22 | Ti X          |         +9 | Titanium     |           215.92                      |
     23 | V I           |          0 | Vanadium     |             6.746187                  |
     23 | V II          |         +1 | Vanadium     |            14.6180                    |
     23 | V III         |         +2 | Vanadium     |            29.3111                    |
     23 | V IV          |         +3 | Vanadium     |            46.7086                    |
     23 | V V           |         +4 | Vanadium     |            65.28164                   |
     23 | V VI          |         +5 | Vanadium     |           128.125                     |
     23 | V VII         |         +6 | Vanadium     |          [150.72]                     |
     23 | V VIII        |         +7 | Vanadium     |          [173.55]                     |
     23 | V IX          |         +8 | Vanadium     |          [205.96]                     |
     23 | V X           |         +9 | Vanadium     |          [230.49]                     |
     24 | Cr I          |          0 | Chromium     |             6.766510                  |
     24 | Cr II         |         +1 | Chromium     |            16.4857                    |
     24 | Cr III        |         +2 | Chromium     |            30.959                     |
     24 | Cr IV         |         +3 | Chromium     |           [49.160]                    |
     24 | Cr V          |         +4 | Chromium     |            69.456                     |
     24 | Cr VI         |         +5 | Chromium     |            90.63490                   |
     24 | Cr VII        |         +6 | Chromium     |          [160.291]                    |
     24 | Cr VIII       |         +7 | Chromium     |          [184.76]                     |
     24 | Cr IX         |         +8 | Chromium     |          [209.54]                     |
     24 | Cr X          |         +9 | Chromium     |          [244.52]                     |
     25 | Mn I          |          0 | Manganese    |             7.434018                  |
     25 | Mn II         |         +1 | Manganese    |            15.639990                  |
     25 | Mn III        |         +2 | Manganese    |            33.668                     |
     25 | Mn IV         |         +3 | Manganese    |           [51.21]                     |
     25 | Mn V          |         +4 | Manganese    |           [72.41]                     |
     25 | Mn VI         |         +5 | Manganese    |            95.604                     |
     25 | Mn VII        |         +6 | Manganese    |           119.203                     |
     25 | Mn VIII       |         +7 | Manganese    |          [195.47]                     |
     25 | Mn IX         |         +8 | Manganese    |          [221.89]                     |
     25 | Mn X          |         +9 | Manganese    |          [248.64]                     |
     26 | Fe I          |          0 | Iron         |             7.9024677                 |
     26 | Fe II         |         +1 | Iron         |            16.199200                  |
     26 | Fe III        |         +2 | Iron         |            30.651                     |
     26 | Fe IV         |         +3 | Iron         |            54.913                     |
     26 | Fe V          |         +4 | Iron         |           [75.00]                     |
     26 | Fe VI         |         +5 | Iron         |            98.985                     |
     26 | Fe VII        |         +6 | Iron         |           124.980                     |
     26 | Fe VIII       |         +7 | Iron         |           151.060                     |
     26 | Fe IX         |         +8 | Iron         |          [233.59]                     |
     26 | Fe X          |         +9 | Iron         |          [262.10]                     |
     27 | Co I          |          0 | Cobalt       |             7.88101                   |
     27 | Co II         |         +1 | Cobalt       |            17.0844                    |
     27 | Co III        |         +2 | Cobalt       |           [33.501]                    |
     27 | Co IV         |         +3 | Cobalt       |           [51.27]                     |
     27 | Co V          |         +4 | Cobalt       |           [79.50]                     |
     27 | Co VI         |         +5 | Cobalt       |          [102.00]                     |
     27 | Co VII        |         +6 | Cobalt       |          [128.90]                     |
     27 | Co VIII       |         +7 | Cobalt       |          [157.83]                     |
     27 | Co IX         |         +8 | Cobalt       |           186.14                      |
     27 | Co X          |         +9 | Cobalt       |          [275.37]                     |
     28 | Ni I          |          0 | Nickel       |             7.639877                  |
     28 | Ni II         |         +1 | Nickel       |            18.168837                  |
     28 | Ni III        |         +2 | Nickel       |            35.187                     |
     28 | Ni IV         |         +3 | Nickel       |           [54.92]                     |
     28 | Ni V          |         +4 | Nickel       |           [76.064]                    |
     28 | Ni VI         |         +5 | Nickel       |          [108.0]                      |
     28 | Ni VII        |         +6 | Nickel       |          (132.0)                      |
     28 | Ni VIII       |         +7 | Nickel       |          (162.1)                      |
     28 | Ni IX         |         +8 | Nickel       |          [193.17]                     |
     28 | Ni X          |         +9 | Nickel       |          [224.66]                     |
     29 | Cu I          |          0 | Copper       |             7.7263800                 |
     29 | Cu II         |         +1 | Copper       |            20.292390                  |
     29 | Cu III        |         +2 | Copper       |            36.841                     |
     29 | Cu IV         |         +3 | Copper       |           [57.380]                    |
     29 | Cu V          |         +4 | Copper       |           [79.85]                     |
     29 | Cu VI         |         +5 | Copper       |          [103.0]                      |
     29 | Cu VII        |         +6 | Copper       |          [139.0]                      |
     29 | Cu VIII       |         +7 | Copper       |          (166.0)                      |
     29 | Cu IX         |         +8 | Copper       |          (198.0)                      |
     29 | Cu X          |         +9 | Copper       |          [232.22]                     |
     30 | Zn I          |          0 | Zinc         |             9.3941988                 |
     30 | Zn II         |         +1 | Zinc         |            17.96439                   |
     30 | Zn III        |         +2 | Zinc         |            39.72330                   |
     30 | Zn IV         |         +3 | Zinc         |            59.573                     |
     30 | Zn V          |         +4 | Zinc         |           [82.57]                     |
     30 | Zn VI         |         +5 | Zinc         |          [108.0]                      |
     30 | Zn VII        |         +6 | Zinc         |          [133.9]                      |
     30 | Zn VIII       |         +7 | Zinc         |          [173.9]                      |
     30 | Zn IX         |         +8 | Zinc         |          [203.0]                      |
     30 | Zn X          |         +9 | Zinc         |          (238.0)                      |
     31 | Ga I          |          0 | Gallium      |             5.9993016                 |
     31 | Ga II         |         +1 | Gallium      |            20.51514                   |
     31 | Ga III        |         +2 | Gallium      |            30.72580                   |
     31 | Ga IV         |         +3 | Gallium      |            63.2406                    |
     31 | Ga V          |         +4 | Gallium      |           [86.01]                     |
     31 | Ga VI         |         +5 | Gallium      |          (112.7)                      |
     31 | Ga VII        |         +6 | Gallium      |          (140.8)                      |
     31 | Ga VIII       |         +7 | Gallium      |          (169.9)                      |
     31 | Ga IX         |         +8 | Gallium      |          (211.0)                      |
     31 | Ga X          |         +9 | Gallium      |          (244.0)                      |
     32 | Ge I          |          0 | Germanium    |             7.899435                  |
     32 | Ge II         |         +1 | Germanium    |            15.934610                  |
     32 | Ge III        |         +2 | Germanium    |            34.0576                    |
     32 | Ge IV         |         +3 | Germanium    |            45.7155                    |
     32 | Ge V          |         +4 | Germanium    |            90.500                     |
     32 | Ge VI         |         +5 | Germanium    |          [115.90]                     |
     32 | Ge VII        |         +6 | Germanium    |          (144.9)                      |
     32 | Ge VIII       |         +7 | Germanium    |          (176.4)                      |
     32 | Ge IX         |         +8 | Germanium    |          (212.5)                      |
     32 | Ge X          |         +9 | Germanium    |          (252.1)                      |
     33 | As I          |          0 | Arsenic      |             9.78860                   |
     33 | As II         |         +1 | Arsenic      |            18.5892                    |
     33 | As III        |         +2 | Arsenic      |            28.349                     |
     33 | As IV         |         +3 | Arsenic      |            50.152                     |
     33 | As V          |         +4 | Arsenic      |            62.767                     |
     33 | As VI         |         +5 | Arsenic      |           121.190                     |
     33 | As VII        |         +6 | Arsenic      |          (147.1)                      |
     33 | As VIII       |         +7 | Arsenic      |          (180.0)                      |
     33 | As IX         |         +8 | Arsenic      |          (213.0)                      |
     33 | As X          |         +9 | Arsenic      |          (247.0)                      |
     34 | Se I          |          0 | Selenium     |             9.752392                  |
     34 | Se II         |         +1 | Selenium     |            21.196                     |
     34 | Se III        |         +2 | Selenium     |            31.697                     |
     34 | Se IV         |         +3 | Selenium     |            42.9469                    |
     34 | Se V          |         +4 | Selenium     |           [68.30]                     |
     34 | Se VI         |         +5 | Selenium     |            81.827                     |
     34 | Se VII        |         +6 | Selenium     |           155.327                     |
     34 | Se VIII       |         +7 | Selenium     |          (184.0)                      |
     34 | Se IX         |         +8 | Selenium     |          (219.0)                      |
     34 | Se X          |         +9 | Selenium     |          (255.0)                      |
     35 | Br I          |          0 | Bromine      |            11.813800                  |
     35 | Br II         |         +1 | Bromine      |            21.5906                    |
     35 | Br III        |         +2 | Bromine      |           (35.0)                      |
     35 | Br IV         |         +3 | Bromine      |            47.784                     |
     35 | Br V          |         +4 | Bromine      |            59.596                     |
     35 | Br VI         |         +5 | Bromine      |           (85.0)                      |
     35 | Br VII        |         +6 | Bromine      |          [103.00]                     |
     35 | Br VIII       |         +7 | Bromine      |           192.609                     |
     35 | Br IX         |         +8 | Bromine      |          (224.0)                      |
     35 | Br X          |         +9 | Bromine      |          (261.0)                      |
     36 | Kr I          |          0 | Krypton      |            13.9996046                 |
     36 | Kr II         |         +1 | Krypton      |            24.35984                   |
     36 | Kr III        |         +2 | Krypton      |            35.670                     |
     36 | Kr IV         |         +3 | Krypton      |            50.85                      |
     36 | Kr V          |         +4 | Krypton      |           [64.69]                     |
     36 | Kr VI         |         +5 | Krypton      |           [78.49]                     |
     36 | Kr VII        |         +6 | Krypton      |          (109.130)                    |
     36 | Kr VIII       |         +7 | Krypton      |           125.8024                    |
     36 | Kr IX         |         +8 | Krypton      |          [232.97]                     |
     36 | Kr X          |         +9 | Krypton      |          (268)                        |
     37 | Rb I          |          0 | Rubidium     |             4.1771280                 |
     37 | Rb II         |         +1 | Rubidium     |            27.289540                  |
     37 | Rb III        |         +2 | Rubidium     |           [39.2472]                   |
     37 | Rb IV         |         +3 | Rubidium     |           [52.20]                     |
     37 | Rb V          |         +4 | Rubidium     |           (68.44)                     |
     37 | Rb VI         |         +5 | Rubidium     |           (83.0)                      |
     37 | Rb VII        |         +6 | Rubidium     |           [98.667]                    |
     37 | Rb VIII       |         +7 | Rubidium     |          [132.79]                     |
     37 | Rb IX         |         +8 | Rubidium     |           150.628                     |
     37 | Rb X          |         +9 | Rubidium     |           277.12                      |
     38 | Sr I          |          0 | Strontium    |             5.69486710                |
     38 | Sr II         |         +1 | Strontium    |            11.0302800                 |
     38 | Sr III        |         +2 | Strontium    |            42.88353                   |
     38 | Sr IV         |         +3 | Strontium    |           [56.2801]                   |
     38 | Sr V          |         +4 | Strontium    |           [70.70]                     |
     38 | Sr VI         |         +5 | Strontium    |           (88.0)                      |
     38 | Sr VII        |         +6 | Strontium    |          (104.0)                      |
     38 | Sr VIII       |         +7 | Strontium    |          [121.210]                    |
     38 | Sr IX         |         +8 | Strontium    |          [158.33]                     |
     38 | Sr X          |         +9 | Strontium    |           177.300                     |
     39 | Y I           |          0 | Yttrium      |             6.21726                   |
     39 | Y II          |         +1 | Yttrium      |            12.22400                   |
     39 | Y III         |         +2 | Yttrium      |            20.52440                   |
     39 | Y IV          |         +3 | Yttrium      |           [60.6072]                   |
     39 | Y V           |         +4 | Yttrium      |            74.97                      |
     39 | Y VI          |         +5 | Yttrium      |           [91.390]                    |
     39 | Y VII         |         +6 | Yttrium      |          [110.02]                     |
     39 | Y VIII        |         +7 | Yttrium      |          (127.0)                      |
     39 | Y IX          |         +8 | Yttrium      |          [145.644]                    |
     39 | Y X           |         +9 | Yttrium      |          [185.73]                     |
     40 | Zr I          |          0 | Zirconium    |             6.633900                  |
     40 | Zr II         |         +1 | Zirconium    |            13.130                     |
     40 | Zr III        |         +2 | Zirconium    |           [23.1702]                   |
     40 | Zr IV         |         +3 | Zirconium    |            34.418360                  |
     40 | Zr V          |         +4 | Zirconium    |           [80.3480]                   |
     40 | Zr VI         |         +5 | Zirconium    |            96.274                     |
     40 | Zr VII        |         +6 | Zirconium    |          (112.0)                      |
     40 | Zr VIII       |         +7 | Zirconium    |          [133.65]                     |
     40 | Zr IX         |         +8 | Zirconium    |          (153.0)                      |
     40 | Zr X          |         +9 | Zirconium    |          [172.016]                    |
     41 | Nb I          |          0 | Niobium      |             6.758850                  |
     41 | Nb II         |         +1 | Niobium      |           [14.320]                    |
     41 | Nb III        |         +2 | Niobium      |           [25.04]                     |
     41 | Nb IV         |         +3 | Niobium      |            37.611                     |
     41 | Nb V          |         +4 | Niobium      |            50.5728                    |
     41 | Nb VI         |         +5 | Niobium      |          [102.0690]                   |
     41 | Nb VII        |         +6 | Niobium      |           119.14                      |
     41 | Nb VIII       |         +7 | Niobium      |          (136.0)                      |
     41 | Nb IX         |         +8 | Niobium      |          [159.20]                     |
     41 | Nb X          |         +9 | Niobium      |          (180.0)                      |
     42 | Mo I          |          0 | Molybdenum   |             7.092430                  |
     42 | Mo II         |         +1 | Molybdenum   |           [16.16]                     |
     42 | Mo III        |         +2 | Molybdenum   |           [27.13]                     |
     42 | Mo IV         |         +3 | Molybdenum   |           [40.332]                    |
     42 | Mo V          |         +4 | Molybdenum   |           [54.485]                    |
     42 | Mo VI         |         +5 | Molybdenum   |            68.82703                   |
     42 | Mo VII        |         +6 | Molybdenum   |          [125.638]                    |
     42 | Mo VIII       |         +7 | Molybdenum   |           143.6                       |
     42 | Mo IX         |         +8 | Molybdenum   |           164.118                     |
     42 | Mo X          |         +9 | Molybdenum   |          [186.3]                      |
     43 | Tc I          |          0 | Technetium   |             7.119381                  |
     43 | Tc II         |         +1 | Technetium   |           [15.262]                    |
     43 | Tc III        |         +2 | Technetium   |           [29.545]                    |
     43 | Tc IV         |         +3 | Technetium   |           (41.0)                      |
     43 | Tc V          |         +4 | Technetium   |           (57.0)                      |
     43 | Tc VI         |         +5 | Technetium   |           (72.0)                      |
     43 | Tc VII        |         +6 | Technetium   |           (88.0)                      |
     43 | Tc VIII       |         +7 | Technetium   |          (150.0)                      |
     43 | Tc IX         |         +8 | Technetium   |          (169.0)                      |
     43 | Tc X          |         +9 | Technetium   |          (189.9)                      |
     44 | Ru I          |          0 | Ruthenium    |             7.360500                  |
     44 | Ru II         |         +1 | Ruthenium    |           [16.763]                    |
     44 | Ru III        |         +2 | Ruthenium    |           [28.467]                    |
     44 | Ru IV         |         +3 | Ruthenium    |           (45.0)                      |
     44 | Ru V          |         +4 | Ruthenium    |           (59.0)                      |
     44 | Ru VI         |         +5 | Ruthenium    |           (76.0)                      |
     44 | Ru VII        |         +6 | Ruthenium    |           (93.0)                      |
     44 | Ru VIII       |         +7 | Ruthenium    |          (110.0)                      |
     44 | Ru IX         |         +8 | Ruthenium    |          [178.410]                    |
     44 | Ru X          |         +9 | Ruthenium    |          (198.0)                      |
     45 | Rh I          |          0 | Rhodium      |             7.458900                  |
     45 | Rh II         |         +1 | Rhodium      |           [18.077]                    |
     45 | Rh III        |         +2 | Rhodium      |           [31.058]                    |
     45 | Rh IV         |         +3 | Rhodium      |           (42.0)                      |
     45 | Rh V          |         +4 | Rhodium      |           (63.0)                      |
     45 | Rh VI         |         +5 | Rhodium      |           (80.0)                      |
     45 | Rh VII        |         +6 | Rhodium      |           (97.0)                      |
     45 | Rh VIII       |         +7 | Rhodium      |          (115.1)                      |
     45 | Rh IX         |         +8 | Rhodium      |          (135.0)                      |
     45 | Rh X          |         +9 | Rhodium      |          [207.512]                    |
     46 | Pd I          |          0 | Palladium    |             8.33686                   |
     46 | Pd II         |         +1 | Palladium    |           [19.428]                    |
     46 | Pd III        |         +2 | Palladium    |           [32.930]                    |
     46 | Pd IV         |         +3 | Palladium    |           (46.0)                      |
     46 | Pd V          |         +4 | Palladium    |           (61.0)                      |
     46 | Pd VI         |         +5 | Palladium    |           (84.1)                      |
     46 | Pd VII        |         +6 | Palladium    |          (101.0)                      |
     46 | Pd VIII       |         +7 | Palladium    |          (120.0)                      |
     46 | Pd IX         |         +8 | Palladium    |          (141.0)                      |
     46 | Pd X          |         +9 | Palladium    |          (159.9)                      |
     47 | Ag I          |          0 | Silver       |             7.576234                  |
     47 | Ag II         |         +1 | Silver       |            21.48440                   |
     47 | Ag III        |         +2 | Silver       |           [34.827]                    |
     47 | Ag IV         |         +3 | Silver       |           (49.0)                      |
     47 | Ag V          |         +4 | Silver       |           (65.0)                      |
     47 | Ag VI         |         +5 | Silver       |           (82.0)                      |
     47 | Ag VII        |         +6 | Silver       |          (106.0)                      |
     47 | Ag VIII       |         +7 | Silver       |          (125.0)                      |
     47 | Ag IX         |         +8 | Silver       |          (145.1)                      |
     47 | Ag X          |         +9 | Silver       |          (167.0)                      |
     48 | Cd I          |          0 | Cadmium      |             8.993822                  |
     48 | Cd II         |         +1 | Cadmium      |            16.908312                  |
     48 | Cd III        |         +2 | Cadmium      |            37.4680                    |
     48 | Cd IV         |         +3 | Cadmium      |           (51.0)                      |
     48 | Cd V          |         +4 | Cadmium      |           (67.9)                      |
     48 | Cd VI         |         +5 | Cadmium      |           (87.0)                      |
     48 | Cd VII        |         +6 | Cadmium      |          (105.0)                      |
     48 | Cd VIII       |         +7 | Cadmium      |          (130.1)                      |
     48 | Cd IX         |         +8 | Cadmium      |          (150.0)                      |
     48 | Cd X          |         +9 | Cadmium      |          (173.0)                      |
     49 | In I          |          0 | Indium       |             5.78635510                |
     49 | In II         |         +1 | Indium       |            18.870406                  |
     49 | In III        |         +2 | Indium       |            28.04415                   |
     49 | In IV         |         +3 | Indium       |            55.446                     |
     49 | In V          |         +4 | Indium       |           [69.3]                      |
     49 | In VI         |         +5 | Indium       |           (90.0)                      |
     49 | In VII        |         +6 | Indium       |          (109.0)                      |
     49 | In VIII       |         +7 | Indium       |          (130.1)                      |
     49 | In IX         |         +8 | Indium       |          (156.0)                      |
     49 | In X          |         +9 | Indium       |          (178.0)                      |
     50 | Sn I          |          0 | Tin          |             7.343917                  |
     50 | Sn II         |         +1 | Tin          |            14.63224                   |
     50 | Sn III        |         +2 | Tin          |            30.50259                   |
     50 | Sn IV         |         +3 | Tin          |            40.735                     |
     50 | Sn V          |         +4 | Tin          |            77.031                     |
